# Data(x=[10334, 1], edge_index=[2, 100836], edge_label=[100836, 1], rating_index=[100836]) 
idx	Train_Err	Valid_Err	Test_Err
0500	1.7094    	3.5922    	2.7690
1000	1.2980    	2.5196    	1.9692
1500	1.1049    	1.8463    	1.5186
2000	1.0162    	1.4463    	1.2557
2500	0.9694    	1.2974    	1.1587
3000	0.9267    	1.1971    	1.0833
3500	0.8893    	1.1414    	1.0414
4000	0.8607    	1.0825    	0.9926
4500	0.8402    	1.0592    	0.9762
5000	0.8261    	1.0359    	0.9585
5500	0.8156    	1.0213    	0.9490
6000	0.8064    	1.0171    	0.9472
6500	0.8028    	1.0214    	0.9529
7000	0.7941    	1.0109    	0.9444
7500	0.7883    	1.0036    	0.9393
8000	0.7845    	0.9975    	0.9344
8500	0.7803    	0.9984    	0.9361
9000	0.7771    	0.9976    	0.9362
9500	0.7753    	1.0005    	0.9397
10000	0.7758    	0.9894    	0.9315
10500	0.7692    	1.0057    	0.9425
11000	0.7679    	0.9951    	0.9349
11500	0.7649    	0.9998    	0.9378
12000	0.7622    	1.0027    	0.9401
12500	0.7599    	1.0061    	0.9423
13000	0.7588    	1.0064    	0.9434
13500	0.7549    	1.0158    	0.9492
14000	0.7535    	1.0148    	0.9479
14500	0.7543    	1.0158    	0.9481
15000	0.7481    	1.0298    	0.9589
15500	0.7460    	1.0352    	0.9622
16000	0.7440    	1.0353    	0.9607
16500	0.7421    	1.0403    	0.9646
17000	0.7406    	1.0511    	0.9724
17500	0.7389    	1.0486    	0.9681
18000	0.7373    	1.0511    	0.9699
18500	0.7344    	1.0605    	0.9771
19000	0.7320    	1.0684    	0.9826
19500	0.7330    	1.0661    	0.9792
20000	0.7295    	1.0812    	0.9901
