# {'n_epoch': 20000, 'learn_rate': 0.0005, 'hidden_dim': 16, 'dropout': 0.2, 'use_loader': True, 'walk_batch': 15000, 'walk_length': 10, 'num_steps': 5}
idx	Train_Err	Valid_Err	Test_Err	Num_Node
0500	1.9588    	4.3290    	3.4048    	8276.0000
1000	1.2089    	1.3010    	1.3758    	8297.0000
1500	0.9951    	0.6732    	0.8085    	8350.0000
2000	0.9379    	0.5376    	0.6769    	8329.0000
2500	0.8960    	0.5271    	0.6513    	8308.0000
3000	0.8775    	0.5047    	0.6159    	8322.0000
3500	0.8679    	0.4961    	0.5974    	8346.0000
4000	0.8777    	0.5288    	0.5943    	8325.0000
4500	0.8415    	0.5231    	0.5775    	8267.0000
5000	0.8560    	0.5674    	0.5983    	8285.0000
5500	0.8526    	0.5743    	0.5950    	8330.0000
6000	0.8391    	0.6152    	0.6164    	8271.0000
6500	0.8190    	0.6488    	0.6136    	8321.0000
7000	0.7954    	0.6527    	0.6178    	8252.0000
7500	0.8021    	0.6741    	0.6351    	8295.0000
8000	0.7760    	0.6462    	0.6165    	8273.0000
8500	0.7779    	0.6617    	0.6311    	8300.0000
9000	0.7595    	0.6546    	0.6222    	8290.0000
9500	0.7859    	0.7617    	0.6842    	8334.0000
10000	0.7619    	0.7924    	0.6903    	8335.0000
10500	0.7452    	0.7450    	0.6636    	8348.0000
11000	0.7603    	0.8153    	0.6987    	8333.0000
11500	0.7486    	0.8235    	0.6972    	8279.0000
12000	0.7338    	0.7701    	0.6669    	8251.0000
12500	0.7474    	0.8266    	0.7025    	8325.0000
13000	0.7472    	0.8240    	0.7125    	8312.0000
13500	0.7656    	0.9136    	0.7653    	8276.0000
14000	0.7317    	0.7902    	0.6801    	8299.0000
14500	0.7223    	0.7324    	0.6424    	8268.0000
15000	0.7397    	0.8330    	0.7018    	8386.0000
15500	0.7286    	0.8213    	0.6913    	8317.0000
16000	0.7483    	0.9079    	0.7435    	8297.0000
16500	0.7397    	0.9312    	0.7616    	8321.0000
17000	0.7206    	0.7675    	0.6661    	8272.0000
17500	0.7183    	0.7657    	0.6572    	8335.0000
18000	0.7461    	0.9061    	0.7456    	8321.0000
18500	0.7248    	0.7682    	0.6677    	8290.0000
19000	0.7283    	0.7901    	0.6790    	8365.0000
19500	0.7445    	0.8962    	0.7382    	8339.0000
20000	0.7240    	0.7838    	0.6654    	8292.0000

# Best Test_Err: 0.5551121234893799
